idx,file,prompt,clip,imagereward,vqa,dsg,dsg_claims
0,0000.png,A green colored rabbit.,0.2600061297416687,-1.343031406402588,0.4668633043766022,0.9016612768173218,2
1,0001.png,A green colored rabbit.,0.26999348402023315,-1.1701996326446533,0.6136800050735474,0.9106433093547821,2
2,0002.png,A green colored rabbit.,0.267947793006897,0.5410785675048828,0.8985851407051086,0.9497294425964355,2
3,0003.png,A green colored rabbit.,0.3212988078594208,1.802775263786316,0.9846766591072083,0.948187917470932,2
4,0004.png,A green colored rabbit.,0.2512652575969696,-1.7401561737060547,0.4385773837566376,0.9305975437164307,2
5,0005.png,A green colored rabbit.,0.2664186954498291,-1.5282273292541504,0.39467695355415344,0.9251109063625336,2
6,0006.png,A green colored rabbit.,0.26986217498779297,-1.5282329320907593,0.36931926012039185,0.9276430904865265,2
7,0007.png,A green colored rabbit.,0.3125600516796112,1.6486845016479492,0.9820955991744995,0.9514150619506836,2
8,0008.png,A green colored rabbit.,0.332168310880661,0.9263646602630615,0.976239025592804,0.9621783792972565,2
9,0009.png,A green colored rabbit.,0.2870868742465973,-0.09532351791858673,0.9798203706741333,0.9207653701305389,2
10,0010.png,A green colored rabbit.,0.256843626499176,-0.9310513734817505,0.5249083638191223,0.9241468012332916,2
11,0011.png,A green colored rabbit.,0.30707162618637085,1.1444681882858276,0.9786252379417419,0.955900102853775,2
12,0012.png,A green colored rabbit.,0.2926589846611023,0.18839964270591736,0.9782668352127075,0.9439804553985596,2
13,0013.png,A green colored rabbit.,0.32322967052459717,1.4948604106903076,0.98293536901474,0.9459266364574432,2
14,0014.png,A green colored rabbit.,0.32187411189079285,1.5069103240966797,0.9812569618225098,0.9448757469654083,2
15,0015.png,A green colored rabbit.,0.26654040813446045,-1.4807852506637573,0.4835682809352875,0.9164622724056244,2
16,0016.png,A green colored rabbit.,0.3119792342185974,1.2262150049209595,0.982455313205719,0.957890123128891,2
17,0017.png,A green colored rabbit.,0.30834490060806274,-0.4938259422779083,0.9736206531524658,0.9314233362674713,2
18,0018.png,A green colored rabbit.,0.3049638271331787,0.5595629215240479,0.9743339419364929,0.9307666718959808,2
19,0019.png,A green colored rabbit.,0.31819993257522583,1.5630605220794678,0.9773119688034058,0.933605432510376,2
20,0020.png,A green colored rabbit.,0.238562673330307,-1.3768525123596191,0.6319248080253601,0.5457189828157425,2
21,0021.png,A green colored rabbit.,0.3011493682861328,-0.019125046208500862,0.9779085516929626,0.9307275712490082,2
22,0022.png,A green colored rabbit.,0.32243573665618896,1.552619218826294,0.9800597429275513,0.9584545493125916,2
23,0023.png,A green colored rabbit.,0.2516409158706665,-1.5625414848327637,0.47793450951576233,0.9153743982315063,2
24,0024.png,A green colored rabbit.,0.26660752296447754,-0.387211412191391,0.5127488374710083,0.9329117238521576,2
